dataVersion,ownerPlayerId,ownerUsername,stageName,stageType,rank,playerName,playerStar,playerScore,playerClearTime
Version-1,65f7d12de5681b767119e459,D1018508,Review and Merge Pull Requests (Tutorial),Remote,1,D1018508,4,4000,201
Version-1,65f7d12de5681b767119e459,D1018508,Game Introduction (Practice),Basic,1,D1018508,4,7000,34
Version-1,65f7d12de5681b767119e459,D1018508,Version Control and Git (Practice),Basic,1,D1018508,4,7000,63
Version-1,65f7d12de5681b767119e459,D1018508,Review and Merge Pull Requests (Practice),Remote,1,D1018508,4,5000,112
Version-1,65f7d132e5681b767119e45f,d1030978,Game Introduction (Tutorial),Basic,1,d1030978,4,7000,58
Version-1,65f7d132e5681b767119e45f,d1030978,Game Introduction (Tutorial),Basic,2,d1030978,3,6750,467
Version-1,65f7d132e5681b767119e45f,d1030978,Version Control and Git (Tutorial),Basic,1,d1030978,4,3000,35
Version-1,65f7d132e5681b767119e45f,d1030978,Version Control and Git (Tutorial),Basic,2,d1030978,3,2000,100
Version-1,65f7d132e5681b767119e45f,d1030978,Create Local Repository (Tutorial),Basic,1,d1030978,4,4000,140
Version-1,65f7d132e5681b767119e45f,d1030978,Basic Staging Area (Tutorial),Basic,1,d1030978,4,5000,229
Version-1,65f7d132e5681b767119e45f,d1030978,Advanced Staging Area (Tutorial),Basic,1,d1030978,4,6000,262
Version-1,65f7d132e5681b767119e45f,d1030978,Creating First Version (Tutorial),Basic,1,d1030978,4,16000,762
Version-1,65f7d132e5681b767119e45f,d1030978,Switching Project Versions (Tutorial),Basic,1,d1030978,4,8000,122
Version-1,65f7d132e5681b767119e45f,d1030978,Switching Project Versions (Tutorial),Basic,2,d1030978,3,7750,554
Version-1,65f7d132e5681b767119e45f,d1030978,Git Branching Basics (Tutorial),Branch,1,d1030978,1,6000,509
Version-1,65f7d132e5681b767119e45f,d1030978,Game Introduction (Practice),Basic,1,d1030978,4,7000,42
Version-1,65f7d132e5681b767119e45f,d1030978,Version Control and Git (Practice),Basic,1,d1030978,4,7000,50
Version-1,65f7d132e5681b767119e45f,d1030978,Version Control and Git (Practice),Basic,2,d1030978,1,2000,75
Version-1,65f7d132e5681b767119e45f,d1030978,Version Control and Git (Practice),Basic,3,d1030978,1,1000,67
Version-1,65f7d132e5681b767119e45f,d1030978,Create Local Repository (Practice),Basic,1,d1030978,4,3000,90
Version-1,65f7d132e5681b767119e45f,d1030978,Creating First Version (Practice),Basic,1,d1030978,4,8000,139
Version-1,65f7d132e5681b767119e45f,d1030978,Switching Project Versions (Practice),Basic,1,d1030978,4,7000,74
Version-1,65f7d132e5681b767119e45f,d1030978,Switching Project Versions (Practice),Basic,2,d1030978,2,6000,108
Version-1,65f7d133e5681b767119e465,d0653940,Game Introduction (Tutorial),Basic,1,d0653940,2,6000,368
Version-1,65f7d133e5681b767119e465,d0653940,Version Control and Git (Tutorial),Basic,1,d0653940,2,1000,154
Version-1,65f7d133e5681b767119e465,d0653940,Create Local Repository (Tutorial),Basic,1,d0653940,3,3750,153
Version-1,65f7d133e5681b767119e465,d0653940,Basic Staging Area (Tutorial),Basic,1,d0653940,3,4750,308
Version-1,65f7d133e5681b767119e465,d0653940,Advanced Staging Area (Tutorial),Basic,1,d0653940,4,6000,259
Version-1,65f7d133e5681b767119e465,d0653940,Creating First Version (Tutorial),Basic,1,d0653940,3,15000,1012
Version-1,65f7d133e5681b767119e465,d0653940,Switching Project Versions (Tutorial),Basic,1,d0653940,3,7750,484
Version-1,65f7d133e5681b767119e465,d0653940,Git Branching Basics (Tutorial),Branch,1,d0653940,3,8500,718
Version-1,65f7d133e5681b767119e465,d0653940,Fast-Forward Merging (Tutorial),Branch,1,d0653940,4,6000,298
Version-1,65f7d133e5681b767119e465,d0653940,Auto Merging (Tutorial),Branch,1,d0653940,3,7750,477
Version-1,65f7d133e5681b767119e465,d0653940,Merge Conflicts (Tutorial),Branch,1,d0653940,3,6750,380
Version-1,65f7d133e5681b767119e465,d0653940,Create Remote Repository (Tutorial),Remote,1,d0653940,3,5500,217
Version-1,65f7d133e5681b767119e465,d0653940,Push to Remote Branches (Tutorial),Remote,1,d0653940,4,6000,529
Version-1,65f7d133e5681b767119e465,d0653940,Keep Branches in Sync (Tutorial),Remote,1,d0653940,4,5000,289
Version-1,65f7d133e5681b767119e465,d0653940,Preparation for Merging (Tutorial),Remote,1,d0653940,1,3000,795
Version-1,65f7d135e5681b767119e46b,D1060300,Game Introduction (Tutorial),Basic,1,D1060300,3,6500,257
Version-1,65f7d135e5681b767119e46b,D1060300,Version Control and Git (Tutorial),Basic,1,D1060300,4,3000,120
Version-1,65f7d135e5681b767119e46b,D1060300,Create Local Repository (Tutorial),Basic,1,D1060300,4,4000,130
Version-1,65f7d135e5681b767119e46b,D1060300,Basic Staging Area (Tutorial),Basic,1,D1060300,4,5000,203
Version-1,65f7d135e5681b767119e46b,D1060300,Advanced Staging Area (Tutorial),Basic,1,D1060300,4,6000,145
Version-1,65f7d135e5681b767119e46b,D1060300,Creating First Version (Tutorial),Basic,1,D1060300,4,16000,308
Version-1,65f7d135e5681b767119e46b,D1060300,Switching Project Versions (Tutorial),Basic,1,D1060300,4,8000,201
Version-1,65f7d135e5681b767119e46b,D1060300,Git Branching Basics (Tutorial),Branch,1,D1060300,4,9000,506
Version-1,65f7d135e5681b767119e46b,D1060300,Fast-Forward Merging (Tutorial),Branch,1,D1060300,4,6000,167
Version-1,65f7d135e5681b767119e46b,D1060300,Auto Merging (Tutorial),Branch,1,D1060300,3,7500,262
Version-1,65f7d135e5681b767119e46b,D1060300,Merge Conflicts (Tutorial),Branch,1,D1060300,3,6750,227
Version-1,65f7d135e5681b767119e46b,D1060300,Create Remote Repository (Tutorial),Remote,1,D1060300,4,6000,141
Version-1,65f7d135e5681b767119e46b,D1060300,Push to Remote Branches (Tutorial),Remote,1,D1060300,3,5750,367
Version-1,65f7d135e5681b767119e46b,D1060300,Keep Branches in Sync (Tutorial),Remote,1,D1060300,4,5000,459
Version-1,65f7d135e5681b767119e46b,D1060300,Preparation for Merging (Tutorial),Remote,1,D1060300,3,7500,258
Version-1,65f7d135e5681b767119e46b,D1060300,Creating a Pull Request (Tutorial),Remote,1,D1060300,3,10000,626
Version-1,65f7d136e5681b767119e471,D0957884,Game Introduction (Tutorial),Basic,1,D0957884,3,6500,208
Version-1,65f7d136e5681b767119e471,D0957884,Version Control and Git (Tutorial),Basic,1,D0957884,4,3000,105
Version-1,65f7d136e5681b767119e471,D0957884,Create Local Repository (Tutorial),Basic,1,D0957884,4,4000,125
Version-1,65f7d136e5681b767119e471,D0957884,Basic Staging Area (Tutorial),Basic,1,D0957884,4,5000,170
Version-1,65f7d136e5681b767119e471,D0957884,Advanced Staging Area (Tutorial),Basic,1,D0957884,4,6000,156
Version-1,65f7d136e5681b767119e471,D0957884,Creating First Version (Tutorial),Basic,1,D0957884,4,16000,332
Version-1,65f7d136e5681b767119e471,D0957884,Switching Project Versions (Tutorial),Basic,1,D0957884,4,8000,224
Version-1,65f7d136e5681b767119e471,D0957884,Git Branching Basics (Tutorial),Branch,1,D0957884,4,9000,276
